Database,ValidNamesWQX,Match?,Instructions
Ablabesmyia,Ablabesmyia,ok,
Acari,Acari,ok,
Acentrella,Acentrella,ok,
Acerpenna,Acerpenna,ok,
Acroneuria,Acroneuria,ok,
Actinobdella,Actinobdella,ok,
Agarodes,Agarodes,ok,
Agnetina,Agnetina,ok,
Amnicola,Amnicola,ok,
Amphipoda,Amphipoda,ok,
Ancylidae,Ancylidae,ok,
Ancyronyx,Ancyronyx,ok,
Anthopotamus,Anthopotamus,ok,
Antocha,Antocha,ok,
Apatania,Apatania,ok,
Argia,Argia,ok,
Atherix,Atherix,ok,
Atractides,Atractides,ok,
Attenella,Attenella,ok,
Aturus,Aturus,ok,
Baetidae,Baetidae,ok,
Baetis,Baetis,ok,
Baetisca,Baetisca,ok,
Berosus,Berosus,ok,
Brachycentrus,Brachycentrus,ok,
Caecidotea,Caecidotea,ok,
Caenis,Caenis,ok,
Cambaridae,Cambaridae,ok,
Cambarus,Cambarus,ok,
Cardiocladius,Cardiocladius,ok,
Catenulida,Catenula (Catenulidae),No Match,use: Catenulida (Platyhelminthes)
Ceraclea,Ceraclea,ok,
Ceratopsyche,Ceratopsyche,ok,
Cheumatopsyche,Cheumatopsyche,ok,
Chimarra,Chimarra,ok,
Chironomidae,Chironomidae,ok,
Chironominae,Chironominae,ok,
Chironomini,Chironomini,ok,
Chironomus,Chironomus,ok,
Chloroperlidae,Chloroperlidae,ok,
Cladotanytarsus,Cladotanytarsus,ok,
Climacia,Climacia,ok,
Coenagrionidae,Coenagrionidae,ok,
Conchapelopia,Conchapelopia,ok,
Corbicula,Corbicula,ok,
Cordulegaster,Cordulegaster,ok,
Corduliidae,Corduliidae,ok,
Corydalidae,Corydalidae,ok,
Corydalus,Corydalus,ok,
Corynoneura,Corynoneura,ok,
Crambidae,Crambidae,ok,
Crangonyx,Crangonyx,ok,
Cricotopus,Cricotopus,ok,
Cricotopus/Orthocladius,Cricotopus vierriensis,No Match,"Call it Orthocladiinae, put Cricotopus/Orthocladius in Unidentified Species ID column"
Cryptochironomus,Cryptochironomus,ok,
Culoptila,Culoptila,ok,
Dasyhelea,Dasyhelea,ok,
Demicryptochironomus,Demicryptochironomus,ok,
Dero,Dero,ok,
Diamesa,Diamesa,ok,
Dicranota,Dicranota,ok,
Dicrotendipes,Dicrotendipes,ok,
Dineutus,Dineutus,ok,
Diphetor,Diphetor,ok,
Djalmabatista,Djalmabatista,ok,
Dolichopodidae,Dolichopodidae,ok,
Dolophilodes,Dolophilodes,ok,
Drunella,Drunella,ok,
Dubiraphia,Dubiraphia,ok,
Dugesia,Dugesia,ok,
Ectopria,Ectopria,ok,
Ectoprocta,Ectopria nervosa,No Match,Ectoprocta***retired***use Bryozoa
Elliptio complanata,Elliptio complanata,ok,
Elmidae,Elmidae,ok,
Empididae,Empididae,ok,
Enchytraeidae,Enchytraeidae,ok,
Epeorus,Epeorus,ok,
Ephemera,Ephemera,ok,
Ephemerella,Ephemerella,ok,
Ephemerellidae,Ephemerellidae,ok,
Ephoron,Ephoron,ok,
Erpobdella,Erpobdella,ok,
Erpobdella punctata punctata,Erpobdella punctata punctata,ok,
Erpobdellidae,Erpobdellidae,ok,
Eukiefferiella,Eukiefferiella,ok,
Eurylophella,Eurylophella,ok,
Ferrissia,Ferrissia,ok,
Fossaria,Fossaria,ok,
Gammarus,Gammarus,ok,
Glossiphoniidae,Glossiphoniidae,ok,
Glossosoma,Glossosoma,ok,
Glossosomatidae,Glossosomatidae,ok,
Gomphidae,Gomphidae,ok,
Gomphus,Gomphus,ok,
Goniobasis,Goniobasis,ok,
Gyraulus,Gyraulus,ok,
Helicopsyche,Helicopsyche,ok,
Helisoma anceps,Helisoma anceps,ok,
Hemerodromia,Hemerodromia,ok,
Heptagenia,Heptagenia,ok,
Heptageniidae,Heptageniidae,ok,
Heterocloeon,Heterocloeon,ok,
Heterotrissocladius,Heterotrissocladius,ok,
Hexatoma,Hexatoma,ok,
Hirudinea,Hirudinea,ok,
Hyalella,Hyalella,ok,
Hydra,Hydra,ok,
Hydrachna,Hydrachna,ok,
Hydrobiidae,Hydrobiidae,ok,
Hydrophilidae,Hydrophilidae,ok,
Hydropsyche,Hydropsyche,ok,
Hydropsychidae,Hydropsychidae,ok,
Hydroptila,Hydroptila,ok,
Hydroptilidae,Hydroptilidae,ok,
Hygrobates,Hygrobates,ok,
Isogenoides,Isogenoides,ok,
Isonychia,Isonychia,ok,
Iswaeon,Iswaeon,ok,
Labiobaetis,Labiobaetis,ok,
Labrundinia,Labrundinia,ok,
Laccobius,Laccobius,ok,
Laevapex,Laevapex,ok,
Laevapex fuscus,Laevapex fuscus,ok,
Lanthus,Lanthus,ok,
Lebertia,Lebertia,ok,
Lepidostoma,Lepidostoma,ok,
Leptoceridae,Leptoceridae,ok,
Leptophlebiidae,Leptophlebiidae,ok,
Leucotrichia,Leucotrichia,ok,
Leucrocuta,Leucrocuta,ok,
Leuctra,Leuctra,ok,
Libellulidae,Libellulidae,ok,
Limnodrilus hoffmeisteri,Limnodrilus hoffmeisteri,ok,
Lirceus,Lirceus,ok,
Lopescladius,Lopescladius,ok,
Lumbricina,Lumbricina,ok,
Lumbriculidae,Lumbriculidae,ok,
Lymnaeidae,Lymnaeidae,ok,
Maccaffertium,Maccaffertium,ok,
Macromiinae,Macromiinae,ok,
Macronychus,Macronychus,ok,
Macronychus glabratus,Macronychus glabratus,ok,
Macrostemum,Macrostemum,ok,
Manayunkia,Manayunkia,ok,
Manayunkia speciosa,Manayunkia speciosa,ok,
Mayatrichia,Mayatrichia,ok,
Menetus,Menetus,ok,
Micrasema,Micrasema,ok,
Microcylloepus,Microcylloepus,ok,
Micropsectra,Micropsectra,ok,
Microtendipes,Microtendipes,ok,
Mideopsis,Mideopsis,ok,
Molanna,Molanna,ok,
Musculium,Musculium,ok,
Mystacides,Mystacides,ok,
Naididae,Naididae,ok,
Naidinae,Naidinae,ok,
Nais,Naineris uncinata,No Match,Nais (Archaic)***retired***use Nais (Animalia)
Nais (Animalia),Nais (Animalia),ok,
Nais behningi,Nais behningi,ok,
Nais bretscheri,Nais bretscheri,ok,
Nais variabilis,Nais variabilis,ok,
Nanocladius,Nanocladius,ok,
Nectopsyche,Nectopsyche,ok,
Nemata,Nemanthias carberryi,No Match,Nemata***retired***use Nematoda
Nematoda,Nematoda,ok,
Neophylax,Neophylax,ok,
Neureclipsis,Neureclipsis,ok,
Neurocordulia,Neurocordulia,ok,
Nigronia,Nigronia,ok,
Nilotanypus,Nilotanypus,ok,
Nilothauma,Nilothauma,ok,
Nixe,Nixe,ok,
Nyctiophylax,Nyctiophylax,ok,
Ochrotrichia,Ochrotrichia,ok,
Oecetis,Oecetis,ok,
Oligochaeta,Oligochaeta,ok,
Ophiogomphus,Ophiogomphus,ok,
Optioservus,Optioservus,ok,
Orconectes,Orconectes,ok,
Oribatei,Oreosomatidae,No Match,changed to Oribatida
Oribatida,Oribatida,ok,
Orthocladiinae,Orthocladiinae,ok,
Orthocladius,Orthocladius,ok,
Orthocladius Complex,Orthocladius Complex,ok,
Ostracoda,Ostracoda,ok,
Oulimnius,Oulimnius,ok,
Oxyethira,Oxyethira,ok,
Pagastia,Pagastia,ok,
Paragnetina,Paragnetina,ok,
Parakiefferiella,Parakiefferiella,ok,
Paraleptophlebia,Paraleptophlebia,ok,
Parametriocnemus,Parametriocnemus,ok,
Paratanytarsus,Paratanytarsus,ok,
Pentaneura,Pentaneura,ok,
Pentaneurini,Pentaneurini,ok,
Perlesta,Perlesta,ok,
Perlidae,Perlidae,ok,
Perlodidae,Perlodidae,ok,
Petrophila,Petrophila,ok,
Phaenopsectra,Phaenopsectra,ok,
Philopotamidae,Philopotamidae,ok,
Physa,Physa,ok,
Pisidiidae,Pisidiidae,ok,
Pisidium,Pisidium,ok,
Planaria,Planaria,ok,
Planariidae,Planariidae,ok,
Planorbella,Planorbella,ok,
Planorbidae,Planorbidae,ok,
Plauditus,Plauditus,ok,
Plecoptera,Plecoptera,ok,
Pleurocera,Pleurocera,ok,
Pleuroceridae,Pleuroceridae,ok,
Polycentropodidae,Polycentropodidae,ok,
Polycentropus,Polycentropus,ok,
Polypedilum,Polypedilum,ok,
Potthastia,Potthastia,ok,
Pristina osborni,Pristina osborni,ok,
Pristina,Pristina,ok,
Pristinella,Pristinella,ok,
Procladius,Procladius,ok,
Procloeon,Procloeon,ok,
Promoresia,Promoresia,ok,
Prostoma,Prostoma,ok,
Protoptila,Protoptila,ok,
Protzia,Protzia,ok,
Psephenus,Psephenus,ok,
Pseudochironomus,Pseudochironomus,ok,
Psilotreta,Psilotreta,ok,
Psychomyia,Psychomyia,ok,
Psychomyiidae,Psychomyiidae,ok,
Pteronarcys,Pteronarcys,ok,
Pycnopsyche,Pycnopsyche,ok,
Pyralidae,Pyralidae,ok,
Quistradrilus multisetosus,Quistradrilus multisetosus,ok,
Rheocricotopus,Rheocricotopus,ok,
Rheopelopia,Rheopelopia,ok,
Rheotanytarsus,Rheotanytarsus,ok,
Rhithrogena,Rhithrogena,ok,
Rhyacophila,Rhyacophila,ok,
Rhyncholimnochares,Rhyncholimnochares,ok,
Robackia,Robackia,ok,
Serratella,Serratella,ok,
Setodes,Setodes,ok,
Sialis,Sialis,ok,
Simuliidae,Simuliidae,ok,
Simulium,Simulium,ok,
Slavina,Slavina,ok,
Somatochlora,Somatochlora,ok,
Sperchon,Sperchon,ok,
Sperchonopsis,Sperchonopsis,ok,
Sphaeriidae,Sphaeriidae,ok,
Sphaerium,Sphaerium,ok,
Spirosperma,Spirosperma,ok,
Stagnicola,Stagnicola,ok,
Stempellinella,Stempellinella,ok,
Stenacron,Stenacron,ok,
Stenelmis,Stenelmis,ok,
Stenochironomus,Stenochironomus,ok,
Stenonema,Stenonema,ok,
Stilocladius,Stilocladius,ok,
Stylaria,Stylaria,ok,
Stylaria lacustris,Stylaria lacustris,ok,
Stylodrilus,Stylodrilus,ok,
Stylogomphus,Stylogomphus,ok,
Stylogomphus albistylus,Stylogomphus albistylus,ok,
Sublettea,Sublettea,ok,
Sublettea coffmani,Sublettea coffmani,ok,
Sweltsa,Sweltsa,ok,
Synorthocladius,Synorthocladius,ok,
Tanyderidae,Tanyderidae,ok,
Tanypodinae,Tanypodinae,ok,
Tanytarsini,Tanytarsini,ok,
Tanytarsus,Tanytarsus,ok,
Teloganopsis,Teloganopsis,ok,
Thienemanniella,Thienemanniella,ok,
Thienemannimyia,Thienemannimyia,ok,"call this Thienemannimyia, put Thienemannimyia genus group in Unidentified Species ID column"
Tipula,Tipula,ok,
Tipulidae,Tipulidae,ok,
Torrenticola,Torrenticola,ok,
Triaenodes,Triaenodes,ok,
Tribelos,Tribelos,ok,
Tricorythodes,Tricorythodes,ok,
Trissopelopia,Trissopelopia,ok,
Trombidiformes,Trombidiformes,ok,
Tubificidae,Tubificidae,ok,
Tubificoid Naididae w/ cap setae,Tubificinae,No Match,"Tubificinae, move original text to ID notes"
Tubificoid Naididae w/o cap setae,Tubificinae,No Match,"Naididae, move original text to Unidentified Species ID column"
Turbellaria,Tuomeya,No Match,"Turbellaria***retired***use Catenulida (Platyhelminthes), Acoelomorpha, Rhabditophora"
Tvetenia,Tvetenia,ok,
Unionidae,Unionidae,ok,
Xenochironomus,Xenochironomus,ok,
Xenochironomus xenolabis,Xenochironomus xenolabis,ok,
Xestochironomus,Xestochironomus,ok,
