SiteID,Reach,Watershed,Physiographic Province,Date,Phylum,Class,Order,Family,Genus,Count
QCNF01,Reference,Quantico Creek,Piedmont,2004,Annelida,Oligochaeta,,,,4
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Arachnida,Acariformes,Lebertiidae,Lebertia,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Arachnida,Acariformes,Sperchonidae,Sperchon,2
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Coleoptera,Elmidae,Optioservus,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Diptera,Chironomidae,,64
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Diptera,Empididae,Chelifera,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Diptera,Simuliidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,99
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,17
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,2
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Eurylophella,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Serratella,4
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenonema,3
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,Isonychia,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Plecoptera,Leuctridae,Leuctra,3
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Plecoptera,Nemouridae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Plecoptera,Nemouridae,Amphinemura,17
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Plecoptera,Nemouridae,Shipsa,2
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Plecoptera,Perlidae,Acroneuria,2
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Plecoptera,Perlodidae,Isoperla,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,8
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,2
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Stactobiella,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Trichoptera,Limnephilidae,Ironoquia,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Trichoptera,Philopotamidae,Chimarra,1
QCNF01,Reference,Quantico Creek,Piedmont,2004,Arthropoda,Insecta,Trichoptera,Philopotamidae,Wormaldia,2
QCNF01,Reference,Quantico Creek,Piedmont,2004,Mollusca,Bivalvia,Pelecypoda,Sphaeriidae,Pisidium,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Crustacea,Decapoda,Cambaridae,Orconectes,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Coleoptera,Dryopidae,Helichus,4
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Coleoptera,Elmidae,Ancyronyx,4
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Coleoptera,Elmidae,Dubiraphia,4
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Coleoptera,Elmidae,Macronychus,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Coleoptera,Elmidae,Oulimnius,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Coleoptera,Psephenidae,Ectopria,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Diptera,Chironomidae,,34
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Diptera,Empididae,Chelifera,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Diptera,Empididae,Clinocera,3
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Diptera,Simuliidae,,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,6
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Diptera,Tipulidae,Antocha,3
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,4
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Ephemeroptera,,,4
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,20
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,8
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenonema,32
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,Isonychia,3
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Megaloptera,Corydalidae,Nigronia,2
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Odonata,Calopterygidae,Hetaerina,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Odonata,Gomphidae,Hagenius,2
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Odonata,Gomphidae,Lanthus,2
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Odonata,Libellulidae,Perithemis,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Odonata,Macromiidae,Macromia,1
QCNF01,Reference,Quantico Creek,Piedmont,2005,Arthropoda,Insecta,Plecoptera,,,3
