UNIQUE_ID,RICH,RICH_EPT,PCT_EPT,PCT_EPHEMEROPTERA,PCT_TRICHOPTERA_NO_HYDRO,PCT_CLING,PCT_CLING_PLECOP,PCT_COLEOPTERA,PCT_PREDATOR,PCT_SHRED,PCT_DOM1,HBI,FBI
QCNF01_2004,28,18,17.89,5.284552846,2.03,60.56910569,68.29,0.81300813,2.85,9.76,40.24,5.92,4.2
QCNF01_2005,34,12,41.21,33.66834171,3.52,62.31155779,66.83,7.537688442,7.04,9.55,17.09,5.43,4.24
QCNF01_2006,30,13,44.95,14.67889908,2.75,27.06422018,50,4.587155963,10.55,23.85,18.35,6.47,4.84
QCNF01_2007,26,10,14.74,3.157894737,0.53,51.05263158,59.47,2.105263158,8.42,10,42.63,6.69,4.36
QCNF01_2008,25,15,25.91,9.090909091,4.55,78.18181818,86.82,2.727272727,4.55,9.09,45,5.26,3.43
QCNF01_2009,25,15,12.63,5.555555556,1.52,32.32323232,35.35,1.515151515,2.53,4.55,56.57,6.46,5.57
QCNF01_2010,33,18,32.34,12.93532338,4.98,67.1641791,79.1,2.487562189,8.46,13.43,41.29,5.13,3.48
QCNF01_2011,16,9,8.68,2.283105023,0.46,86.75799087,91.32,0.913242009,0.91,5.02,77.63,6.21,3.5
QCNF01_2012,27,15,58.33,6.37254902,5.88,36.2745098,68.63,2.941176471,5.39,43.14,32.35,4.56,3.59
QCNF01_2013,33,19,41.51,10.37735849,5.66,60.8490566,80.66,0.943396226,4.72,25,38.68,4.59,3.49
QCNF01_2014,28,14,49.25,17.5879397,10.05,56.28140704,71.86,4.522613065,7.54,15.58,15.58,5.23,3.84
QCNF01_2015,28,14,45.45,19.48051948,6.93,53.24675325,58.44,7.792207792,6.93,15.15,25.97,5.38,4
QCNF01_2016,30,16,32.35,18.1372549,2.45,37.25490196,41.18,8.333333333,6.37,10.29,38.73,5.66,4.59
