Phylum,Class,Order,Family,Genus,FFG,TV,MBSS UTV,MACS TV,Habitat
Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,EphemerellidaeG,,,2.6,,CG
Arthropoda,Insecta,Coleoptera,Hydrophilidae,HydrophilidaeG,,,4.1,,
Annelida,Hirudinea,Rhynchobdellida,Glossiphoniidae,GlossiphoniidaeG,,,6,,
Annelida,Hirudinea,,HirudineaF,HirudineaG,,,,,
Mollusca,Gastropoda,Mesogastropoda,Hydrobiidae,HydrobiidaeG,SC,,8,,CL
Arthropoda,Insecta,Collembola,Isotomidae,IsotomidaeG,,,,,
Arthropoda,Insecta,Plecoptera,Perlidae,PerlidaeG,P,,2.2,1,CG
Arthropoda,Insecta,Diptera,Phoridae,PhoridaeG,CG,,,,BU
Arthropoda,Insecta,Lepidoptera,Pyralidae,PyralidaeG,SH,,6.7,,CL
Arthropoda,Insecta,Collembola,Sminthuridae,SminthuridaeG,,,,,
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,SC,,4.6,3,CG
Arthropoda,Crustacea,Amphipoda,Gammaridae,Stygonectes,SH,,9.3,,SP
Arthropoda,Arachnida,Acari,Hydryphantidae,Panisopsis,P,,,,SW
Arthropoda,Insecta,Ephemeroptera,Baetidae,Acerpenna,CG,,2.6,4,SW
Arthropoda,Insecta,Odonata,Corduliidae,Epitheca,P,,2,4,CL
Arthropoda,Insecta,Coleoptera,Dytiscidae,Celina,P,,5.4,5,SW
Arthropoda,Insecta,Trichoptera,Hydropsychidae,Potamyia,F,,5.7,4,CG
Arthropoda,Insecta,Diptera,Thaumaleidae,Thaumalea,SC,,,,CG
Arthropoda,Insecta,Diptera,Simuliidae,Stegopterna,F,,2.4,,CG
Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Rhithrogena,SC,,2.6,,CG
Arthropoda,Insecta,Ephemeroptera,Baetidae,Heterocloeon,CG,,2.3,,
Arthropoda,Insecta,Ephemeroptera,Baetidae,Diphetor,CG,,2.3,,SW
Arthropoda,Insecta,Odonata,Coenagrionidae,Amphiagrion,P,,9,,CL
