BASIN,LOCATION,RIVMILE,COLL_DATE,COLLECT,Replicate,MACRO_GENSPECIES,INDIV,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Ablabesmyia sp.,1,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Aulodrilus pluriseta,1,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Bezzia sp.,3,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Caecidotea sp.,6,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Caenis sp.,6,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Chaoborus sp.,22,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Chironomus sp.,14,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Cladopelma sp.,1,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Cladotanytarsus sp.,3,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Dicrotendipes sp.,4,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Einfeldia natchitocheae,4,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Enallagma sp.,2,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Endochironomus sp.,4,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Glyptotendipes sp.,9,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Haemonais waldvogeli,4,,LALDR
1,LROND,Ponar,7/1/2011,1,1,Hyalella sp.,2,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Hydrobaenus sp.,1,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Micromenetus sp.,1,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Pagastiella sp.,7,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Parakiefferiella sp.,1,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Procladius sp.,14,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Stylaria lacustris,1,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Tanypus sp.,1,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Tanytarsus sp.,3,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Thienemannimyia gr. spp.,2,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Undet. Tubificidae w/o cap. setae,2,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Undetermined Ancylidae,1,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Undetermined Ceratopogonidae,1,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Undetermined Hydrobiidae,8,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Undetermined Pisidiidae,8,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Xenochironomus xenolabis,1,,LALIC
1,LROND,Ponar,7/1/2011,1,1,Zavreliella marmorata,3,,LALIC
1,LALDR,Composite,6/15/2016,1,1,Caecidotea racovitzai,12,,LALIC
1,LALDR,Composite,6/15/2016,1,1,Caecidotea sp.,96,,LALIC
1,LALDR,Composite,6/15/2016,1,1,Caenis sp.,8,,LALIC
1,LALDR,Composite,6/15/2016,1,1,Enallagma sp.,1,,LALIC
1,LALDR,Composite,6/15/2016,1,1,Haemopis sp.,2,,LALIC
1,LALDR,Composite,6/15/2016,1,1,Hyalella azteca,6,,LALIC
1,LALDR,Composite,6/15/2016,1,1,Molanna sp.,2,,LALIC
1,LALDR,Composite,6/15/2016,1,1,Mystacides sp.,1,,LANAW
1,LALDR,Composite,6/15/2016,1,1,Stenonema femoratum,1,,LANAW
1,LALDR,Composite,6/15/2016,1,1,Undetermined Chironomidae,42,,LANAW
1,LALDR,Composite,6/15/2016,1,1,Undetermined Coleoptera,1,,LANAW
1,LALDR,Composite,6/15/2016,1,1,Undetermined Corixidae,7,,LANAW
1,LALDR,Composite,6/15/2016,1,1,Undetermined Leptoceridae,2,,LANAW
1,LALDR,Composite,6/15/2016,1,1,Undetermined Oligochaeta,119,,LANAW
1,LALDR,Composite,6/15/2016,1,1,Undetermined Pisidiidae,1,,LANAW
1,LALDR,Composite,6/15/2016,1,1,Undetermined Trichoptera ,1,,LANAW
1,LANAW,Ponar,7/1/2011,1,1,Ablabesmyia mallochi,4,,LANAW
1,LANAW,Ponar,7/1/2011,1,1,Arrenurus sp.,2,,LANAW
1,LANAW,Ponar,7/1/2011,1,1,Chironomus sp.,65,,LANAW
1,LANAW,Ponar,7/1/2011,1,1,Cladopelma sp.,2,,LANDR
1,LANAW,Ponar,7/1/2011,1,1,Dicrotendipes sp.,1,,LANDR
1,LANAW,Ponar,7/1/2011,1,1,Limnesia sp.,7,,LANDR
1,LANAW,Ponar,7/1/2011,1,1,Neumania sp.,1,,LANDR
1,LANAW,Ponar,7/1/2011,1,1,Paratanytarsus sp.,1,,LANDR
1,LANAW,Ponar,7/1/2011,1,1,Pionidae,3,,LANDR
1,LANAW,Ponar,7/1/2011,1,1,Polypedilum halterale gr.,4,,LANDR
1,LANAW,Ponar,7/1/2011,1,1,Pseudochironomus sp.,3,,LANDR
1,LANAW,Ponar,7/1/2011,1,1,Undetermined Ceratopogonidae,1,,LANDR
1,LANDR,Composite,6/15/2016,1,1,Agraylea sp.,1,,LANDR
1,LANDR,Composite,6/15/2016,1,1,Bezzia sp.,4,,LANDR
1,LANDR,Composite,6/15/2016,1,1,Caenis sp.,31,,LANDR
1,LANDR,Composite,6/15/2016,1,1,Dugesia sp.,2,,LANDR
1,LANDR,Composite,6/15/2016,1,1,Enallagma sp.,1,,LANDR
1,LANDR,Composite,6/15/2016,1,1,Helobdella stagnalis,5,,LANDR
1,LANDR,Composite,6/15/2016,1,1,Hyalella azteca,1,,LANDR
1,LANDR,Composite,6/15/2016,1,1,Polycentropus sp.,1,,LAUGR
1,LANDR,Composite,6/15/2016,1,1,Sialis sp.,2,,LAUGR
1,LANDR,Composite,6/15/2016,1,1,Stenonema femoratum,2,,LAUGR
1,LANDR,Composite,6/15/2016,1,1,Undetermined Chironomidae,134,,LAUGR
1,LANDR,Composite,6/15/2016,1,1,Undetermined Corixidae,5,,LAUGR
1,LANDR,Composite,6/15/2016,1,1,Undetermined Hemiptera,1,,LAUGR
1,LANDR,Composite,6/15/2016,1,1,Undetermined Oligochaeta,108,,LAUGR
1,LANDR,Composite,6/15/2016,1,1,Undetermined Pisidiidae,1,,LAUGR
1,LANDR,Composite,6/15/2016,1,1,Undetermined Planorbidae,2,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Argia sp.,1,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Bezzia sp.,3,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Caecidotea sp.,199,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Caenis sp.,8,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Crangonyx sp.,3,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Dubiraphia sp.,2,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Ferrissia sp.,1,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Gyraulus parvus,14,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Hyalella azteca,11,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Ischnura sp.,4,,LAUGR
1,LAUGR,Composite,6/9/2016,1,1,Orconectes sp.,1,,LAUGR
