GENSPECIES,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TOLERANCE,FEEDINGHAB,NBI-P_TOLERANCE,NBI-N_TOLERANCE
Lanthus sp.,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,5,PR,,
Ophiogomphus carolus,ARTHROPODA,INSECTA,ODONATA,Gomphidae,,3,PR,,
Ophiogomphus mainensis,ARTHROPODA,INSECTA,Odonata,Gomphidae,,6,PR,,
Cladotanytarsus daviesi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,CF,,
Cladotanytarsus nr. dispersopilosus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,CF,,
Cladotanytarsus nr. mancus,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,CF,,
Cladotanytarsus sp. 2,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,CF,,
Cladotanytarsus sp. 4,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,CF,,
Cladotanytarsus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Chironominae,5,CF,6,4
Anthopotamus sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Potamanthidae,,4,CG,4,5
Undetermined Potamanthidae,ARTHROPODA,INSECTA,EPHEMEROPTERA,Potamanthidae,,4,CG,,
Ephemera guttulata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemeridae,,2,CG,,
Ephemera sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemeridae,,2,CG,,
Hexagenia sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemeridae,,6,CG,,
Litobrancha recurvata,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemeridae,,2,CG,,
Litobrancha sp.,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemeridae,,2,CG,,
Undetermined Ephemeridae,ARTHROPODA,INSECTA,EPHEMEROPTERA,Ephemeridae,,2,CG,,
Ephoron leukon?,ARTHROPODA,INSECTA,EPHEMEROPTERA,Polymitarcyidae,,2,CG,1,1
